# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.964504 1.3851 -7.717 -0.667 1.451 18.52 -11.502 MSCL0_1701240125 -17.07561 0.00070 -17.28791 -17.07804 0.00071 -17.28877 -17.07943 0.00072 -17.28916 -17.08066 0.00073 -17.28980 -17.08207 0.00074 -17.29026 
7777.965257 1.3800 -7.703 -0.196 -0.689 19.20 -11.403 MSCL0_1701240126 -17.06885 0.00070 -17.28356 -17.07180 0.00071 -17.28471 -17.07373 0.00072 -17.28558 -17.07522 0.00073 -17.28620 -17.07665 0.00074 -17.28675 
7777.965997 1.3750 -7.700 0.014 0.757 19.05 -11.268 MSCL0_1701240127 -17.05826 0.00070 -17.27216 -17.06184 0.00071 -17.27372 -17.06420 0.00072 -17.27472 -17.06621 0.00073 -17.27550 -17.06800 0.00074 -17.27602 
7777.966738 1.3700 -7.678 -0.535 -0.159 18.80 -11.286 MSCL0_1701240128 -17.05749 0.00069 -17.27067 -17.06110 0.00070 -17.27180 -17.06351 0.00072 -17.27266 -17.06521 0.00073 -17.27335 -17.06705 0.00074 -17.27395 
7777.967479 1.3651 -7.698 -0.360 0.473 18.77 -11.397 MSCL0_1701240129 -17.00145 0.00071 -17.21246 -17.00399 0.00072 -17.21333 -17.00556 0.00073 -17.21398 -17.00694 0.00074 -17.21465 -17.00852 0.00076 -17.21506 
7777.968231 1.3602 -7.631 -0.662 0.081 18.58 -11.452 MSCL0_1701240130 -17.06743 0.00069 -17.27984 -17.06976 0.00070 -17.28070 -17.07115 0.00071 -17.28152 -17.07237 0.00072 -17.28217 -17.07368 0.00073 -17.28267 
7777.968972 1.3554 -7.612 -0.493 -0.039 18.27 -11.467 MSCL0_1701240131 -17.06912 0.00068 -17.28175 -17.07165 0.00069 -17.28286 -17.07324 0.00070 -17.28365 -17.07458 0.00071 -17.28413 -17.07612 0.00072 -17.28463 
7777.969713 1.3507 -7.616 0.124 -0.087 18.69 -11.520 MSCL0_1701240132 -17.05470 0.00069 -17.26740 -17.05719 0.00069 -17.26817 -17.05858 0.00071 -17.26881 -17.05967 0.00072 -17.26952 -17.06101 0.00073 -17.26997 
7777.970465 1.3459 -7.584 -0.438 0.382 18.80 -11.534 MSCL0_1701240133 -17.07366 0.00068 -17.28725 -17.07599 0.00068 -17.28817 -17.07756 0.00069 -17.28890 -17.07857 0.00071 -17.28933 -17.07995 0.00072 -17.28978 
7777.971206 1.3413 -7.572 -0.195 0.103 18.23 -11.435 MSCL0_1701240134 -17.07142 0.00068 -17.28425 -17.07431 0.00069 -17.28545 -17.07597 0.00070 -17.28632 -17.07739 0.00071 -17.28699 -17.07893 0.00072 -17.28765 
7777.971958 1.3366 -7.578 -0.281 0.396 17.79 -11.453 MSCL0_1701240135 -17.05817 0.00068 -17.27283 -17.06090 0.00069 -17.27406 -17.06232 0.00070 -17.27494 -17.06366 0.00071 -17.27560 -17.06530 0.00072 -17.27619 
7777.972699 1.3321 -7.626 -0.142 -0.332 18.68 -11.325 MSCL0_1701240136 -16.98215 0.00070 -17.19932 -16.98539 0.00071 -17.20038 -16.98719 0.00072 -17.20117 -16.98858 0.00073 -17.20180 -16.98989 0.00074 -17.20223 
7777.973439 1.3276 -7.627 -0.733 0.245 18.71 -11.244 MSCL0_1701240137 -16.95434 0.00070 -17.17378 -16.95755 0.00071 -17.17501 -16.95974 0.00072 -17.17591 -16.96120 0.00074 -17.17653 -16.96284 0.00075 -17.17708 
7777.974192 1.3231 -7.543 0.080 -0.149 19.22 -11.176 MSCL0_1701240138 -17.05271 0.00067 -17.27293 -17.05725 0.00068 -17.27465 -17.06015 0.00069 -17.27588 -17.06221 0.00070 -17.27670 -17.06422 0.00071 -17.27752 
7777.974932 1.3187 -7.603 -0.772 0.298 18.84 -11.213 MSCL0_1701240139 -16.95894 0.00070 -17.18500 -16.96251 0.00071 -17.18647 -16.96472 0.00072 -17.18778 -16.96651 0.00074 -17.18857 -16.96832 0.00075 -17.18909 
7777.975685 1.3143 -7.700 0.062 0.070 18.62 -11.227 MSCL0_1701240140 -16.88424 0.00072 -17.09295 -16.88734 0.00074 -17.09411 -16.88937 0.00075 -17.09479 -16.89088 0.00076 -17.09540 -16.89233 0.00078 -17.09593 
7777.976437 1.3100 -8.379 0.584 1.208 19.70 -9.971 MSCL0_1701240141 -15.43650 0.00205 -15.67719 -15.44019 0.00216 -15.67842 -15.44274 0.00227 -15.67982 -15.44441 0.00238 -15.68154 -15.44613 0.00249 -15.68213 
7777.977178 1.3058 -8.528 77.631 -53.593 19.05 -8.941 MSCL0_1701240142 -13.35247 0.01313 -13.59301 -13.36072 0.01393 -13.59981 -13.36965 0.01471 -13.60397 -13.37472 0.01554 -13.60517 -13.37831 0.01638 -13.60524 
7777.977919 1.3016 -8.340 -2.464 -0.972 19.55 -9.340 MSCL0_1701240143 -14.52739 0.00425 -14.73523 -14.53004 0.00451 -14.73806 -14.53208 0.00478 -14.73914 -14.53154 0.00505 -14.74018 -14.53088 0.00533 -14.74153 
7777.978659 1.2974 -8.021 -3.881 -0.876 19.21 -10.323 MSCL0_1701240144 -15.91830 0.00130 -16.12986 -15.92108 0.00135 -16.13094 -15.92307 0.00141 -16.13202 -15.92409 0.00146 -16.13254 -15.92546 0.00152 -16.13288 
7777.979388 1.2934 -7.491 -1.823 -0.343 20.63 -11.232 MSCL0_1701240145 -17.05967 0.00066 -17.27434 -17.06319 0.00067 -17.27569 -17.06544 0.00068 -17.27680 -17.06732 0.00069 -17.27767 -17.06903 0.00070 -17.27813 
7777.980141 1.2893 -7.460 0.162 0.278 18.75 -11.555 MSCL0_1701240146 -17.08728 0.00065 -17.30242 -17.08957 0.00066 -17.30337 -17.09086 0.00066 -17.30410 -17.09208 0.00067 -17.30472 -17.09338 0.00068 -17.30523 
