TIC ID,TOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
141527579,698.01,1,4,1,1,4,4,4,PC,,12.343,0.311,,1,spoc,05:50:56.62,-76:37:13.3,160.6,2,160.33,2,2458328.944396,.003179,15.086964,0.000707,2.180748,0.451272,2.179407,0.213158,2005.294512,2005.294512,1.958691,.764335,3.143893,339.61485,10.528213,111.0069,,3570,64,4.8319602,.367048,.42500001,.067000002,"1,2,3,4,5",2019-04-30 13:04:27,2019-05-20 12:56:05,
429304876,682.01,1,4,1,3,4,4,4,PC,,9.1809998,0.017,,1,spoc,11:11:32.51,-22:04:21.98,-89.503,1.306,-53.093,0.368,2458546.305878,.001825,6.839299,0.00096,4.441711,0.193332,1.350612,0.049209,1243.185999,1243.185999,4.087727,.673015,291.597829,1053.939838,21.252947,80.987396,2.8936601,5085,76,3.9200001,.12,1.14416,.116379,"9",2019-05-06 19:17:06,2019-05-20 12:56:05,"slightly smaller radius in qlp (R = 3.91 Rsolar)"
151825527,672.01,1,4,1,3,4,4,4,PC,,11.561,0.045,,1,spoc,11:11:57.8,-39:19:41.18,76.92,2,-74.82,2,2458546.479924,.000698,3.633618,0.000191,1.788031,0.088834,9.853045,0.254572,9033.936252,9033.936252,5.03317,.789817,33.798593,614.956513,31.974104,91.637871,,3765,65,4.7516899,.342271,.52499998,.077,"9",2019-05-06 19:17:04,2019-05-20 12:56:05,"no GAIA DR2 radius"
158588995,674.01,1,4,1,3,4,4,4,PC,,11.764,0.046,,1,spoc,10:58:20.78,-36:51:29.19,-162.35,2,-1.87,2,2458544.523796,.00031,1.977238,0.000044,1.021981,0.047737,15.397688,0.239574,14081.706892,14081.706892,4.430879,.742535,35.671742,623.305314,53.596184,72.733948,,3467,64,4.8794599,.378912,.37099999,.059999999,"9",2019-05-06 19:17:05,2019-05-20 12:56:05,"No GAIA DR2 Radius"
237914496,702.01,1,4,1,1,4,4,4,PC,,11.746,0.018,,1,spoc,03:44:41.99,-65:11:54.11,-22.414,4.587,178.896,4.587,2458326.817909,.002499,3.568089,0.000159,1.409949,0.467156,1.099289,0.114599,1011.970124,1011.970124,2.174377,1.551807,63.446767,719.817039,9.196624,,,4015,170,4.6150498,.235853,.64633101,.065577298,"1,2,3,4",2019-04-30 13:04:28,2019-05-20 12:56:05,
314865962,208.01,1,4,1,2,4,4,4,PC,,10.315,0.019,,1,spoc,03:33:07.58,-72:44:38.6,18.756,0.713,44.254,0.769,2458335.959833,.003964,22.4536,0.001306,4.967167,0.614287,0.796124,0.065009,732.988967,732.988967,2.699274,1.325845,33.792059,614.926788,12.602765,144.14008,8.1938105,5493,186,4.4300098,.29055899,.99078399,.129253,"1,2,3,6",2018-10-22 18:35:34,2019-05-17 16:00:02,
141608198,210.01,1,5,5,1,4,4,4,PC,,12.507,0.017,,1,spoc,05:55:50.83,-73:59:06.97,88.977,3.354,-134.64,3.354,2458329.822955,.002314,9.010124,0.000289,1.920005,0.250324,4.382573,0.297577,4028.362853,4028.362853,6.612669,1.037348,14.33889,496.304977,15.112359,,,3275,,,,,,"1,2,3,4,5",2018-10-22 18:35:01,2019-05-17 16:00:02,
167415965,214.01,1,5,5,1,4,4,4,PC,,7.9650002,0.018,,1,spoc,06:37:50.11,-70:55:52.93,-149.68,0.092,298.658,0.087,2458336.684685,.001858,18.552747,0.000425,3.83473,0.191186,0.481733,0.023685,443.593827,443.593827,1.982974,.366871,32.905897,610.855071,19.1056,38.692802,.56428897,5346.1699,12.9304,4.5007701,.033282001,.90006399,.078156203,"1,2,3,4,5,6",2018-10-22 18:35:08,2019-05-17 16:00:02,"CPC"
55652896,216.01,1,4,1,1,4,4,4,PC,,11.504,0.018,,2,spoc,04:55:55.2,-63:15:37.16,,,,,2458331.277537,.000683,34.548903,0.000269,5.606345,0.051251,19.87739,0.152712,18141.184046,18141.184046,9.708907,2.260607,7.496259,422.017927,144.75,188.59399,,5025.77,125,4.6634798,.2,.71520799,.166392,"1,2,3,4,5,6",2018-10-22 18:34:58,2019-05-17 16:00:02,
55652896,216.02,1,4,1,1,4,4,4,PC,CP,11.504,0.018,,2,spoc,04:55:55.2,-63:15:37.16,,,,,2458325.378225,.002522,17.081922,0.000442,2.375764,0.18369,3.993351,0.216917,3671.256704,3671.256704,7.414785,10.848051,19.17379,533.699434,22.036518,188.59399,,5025.77,125,4.6634798,.2,.71520799,.166392,"1,2,3,4,5,6",2018-10-22 18:34:58,2019-05-17 16:00:02,
150098860,220.01,1,4,1,1,4,4,4,PC,,9.6560001,0.018,,1,spoc,06:07:11.93,-61:59:49.92,-17.798,0.869,-68.536,0.66,2458335.900778,.001565,10.695634,0.000182,2.067196,0.367814,1.001804,0.058639,922.270153,922.270153,2.76914,1.886593,143.356204,882.518611,20.212042,88.776047,3.0669501,5272.71,45.599998,3.9884601,.066564001,.90850502,.084537201,"1,2,4,5,6",2018-10-22 18:35:05,2019-05-17 16:00:02,
280095254,235.01,1,4,1,3,4,4,4,PC,,9.3190002,0.018,,1,spoc,03:04:47.49,-73:23:46.97,114.75,2,46.76,2,2458357.283223,.000981,10.090251,0.000108,1.688412,0.062563,2.47182,0.108943,2274.040629,2274.040629,5.829253,5.832199,440.212159,1168.24857,24.300438,104.301,,5454.4199,77.327003,3.4424701,.14607599,1.0099699,1.0099699,"2,6",2018-11-16 21:15:17,2019-05-17 16:00:02,"CPC (originally reported period was 20.1 which is twice the real period identified here)"
